Case,n,k,Noise [%],AMI GT,AMI Obs,AMI d_u,ARI GT,ARI Obs,ARI d_u
10% Noise,3000,10,10.0,100.0,62.46,74.97,100.0,24.96,38.79
20% Noise,3000,10,20.0,100.0,50.9,71.49,100.0,16.99,36.31
30% Noise,3000,10,30.0,100.0,0.0,24.0,100.0,0.0,4.58
40% Noise,3000,10,40.0,93.95,41.19,51.45,83.1,9.78,15.64
50% Noise,3000,10,50.0,96.99,23.63,20.95,90.48,4.46,3.37
60% Noise,3000,10,60.0,96.86,0.0,57.99,89.87,0.0,19.27
70% Noise,3000,10,70.0,78.27,0.28,21.83,40.66,0.0,3.39
80% Noise,3000,10,80.0,70.15,24.35,37.8,30.27,4.75,9.84
90% Noise,3000,10,90.0,66.94,0.0,25.72,26.11,0.0,5.07
Balanced Sizes,4000,10,0.0,100.0,93.32,89.98,100.0,80.96,77.1
Imbalanced Sizes,4000,10,0.0,100.0,71.12,70.92,100.0,40.48,40.42
Tiny Clusters,4000,80,0.0,95.95,27.64,37.64,80.96,1.11,2.26
Many Clusters + Noise,5000,40,30.0,95.24,5.93,20.64,76.93,0.27,1.15
Imbalanced + Noise,5000,20,20.0,97.5,24.68,57.19,89.69,2.59,12.3
