Case,Noise GT,Noise Obs,Noise d_u,Prec GT,Prec Obs,Prec d_u,Rec GT,Rec Obs,Rec d_u,t GT,t Obs,t d_u
10% Noise,9.43,3.93,5.63,100.0,94.07,90.53,94.33,37.0,51.0,0.18,0.18,9.76
20% Noise,18.6,3.57,9.0,100.0,95.33,73.33,93.0,17.0,33.0,0.18,0.18,5.59
30% Noise,24.33,4.77,17.03,100.0,97.2,58.12,81.11,15.44,33.0,0.18,0.18,5.82
40% Noise,30.7,5.13,13.1,100.0,98.7,93.64,76.75,12.67,30.67,0.18,0.2,5.8
50% Noise,35.43,5.5,15.6,100.0,100.0,95.94,70.87,11.0,29.93,0.19,0.21,5.75
60% Noise,38.87,5.87,24.33,100.0,97.73,72.74,64.78,9.56,29.5,0.21,0.2,5.7
70% Noise,42.5,5.87,22.87,100.0,98.3,88.05,60.71,8.24,28.76,0.17,0.17,5.73
80% Noise,46.77,6.4,21.13,100.0,97.92,95.43,58.46,7.83,25.21,0.17,0.17,5.72
90% Noise,46.43,6.8,26.57,100.0,97.55,92.6,51.59,7.37,27.33,0.18,0.2,5.94
Balanced Sizes,0.0,0.15,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.31,9.91
Imbalanced Sizes,0.0,0.65,12.45,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,10.1
Tiny Clusters,0.0,1.55,7.22,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,10.07
Many Clusters + Noise,19.58,3.8,15.12,100.0,55.79,52.65,65.27,7.07,26.53,0.45,0.47,15.48
Imbalanced + Noise,15.78,3.4,12.72,100.0,88.82,54.87,78.9,15.1,34.9,0.46,0.46,15.34
